2	xxx/yyy/zzz	1	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
4	analysis/result	2	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
5	a/1	1	1	4	U	\N	AVAILABLE	42	4711	f	42	t
6	a/2	2	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
7	a/3	3	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
8	xml/result-8	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
9	xml/result-9	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
10	xml/result-10	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
11	xml/result-11	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
12	xml/result-12	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
14	contained/20110509092359990-11	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
15	contained/20110509092359990-12	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
17	a/4	4	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
18	xml/result-18	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
20	xml/result-20	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
21	xml/result-21	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t
