1	MASTER_PLATE	Master Plate	1	t	0	0	2009-03-23 15:34:44.462776+01	f	S	f	f	\N	f
2	DILUTION_PLATE	Dilution Plate	1	t	1	0	2009-03-23 15:34:44.462776+01	f	S	f	f	\N	f
5	CONTROL_LAYOUT	Control layout	1	t	0	0	2009-03-23 15:34:44.462776+01	f	S	f	f	\N	f
6	WELL	Plate Well	1	f	0	1	2009-03-23 15:34:44.462776+01	f	S	f	f	5	f
3	CELL_PLATE	Cell Plate	1	t	1	0	2009-03-23 15:34:44.462776+01	f	S	f	f	5	f
4	REINFECT_PLATE	Re-infection Plate	1	t	1	0	2009-03-23 15:34:44.462776+01	f	S	f	f	5	f
7	DYNAMIC_PLATE	Dynamic Plate	1	t	1	0	2009-03-23 15:34:44.462776+01	f	S	f	f	5	f
8	IMPOSSIBLE	Impossible to create	1	t	1	0	2009-03-23 15:34:44.462776+01	f	S	f	f	6	f
9	IMPOSSIBLE_TO_UPDATE	Impossible to update	1	t	1	0	2009-03-23 15:34:44.462776+01	f	S	f	f	7	f
10	VALIDATE_CHILDREN	Validate children on update	1	t	1	0	2009-03-23 15:34:44.462776+01	f	S	f	f	8	f
11	NORMAL	just the normal	1	t	1	0	2009-03-23 15:34:44.462776+01	f	S	f	f	5	f
