1	AD3	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
2	AD5	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
3	DV	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
4	EV1	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
5	FLU	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
6	HRV2	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
7	HSV1	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
8	MHV	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
9	ROTAV	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
10	RRV	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
11	RSV	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
12	RV	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
13	SFV	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
14	SV40	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
15	VSV	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
16	VV	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
17	YFV	1	2	2008-11-05 09:18:12.173+01	1	2009-03-18 10:50:19.475958+01
18	GFP	5	2	2008-11-05 09:18:12.938+01	1	2009-03-18 10:50:19.475958+01
19	SCRAM	5	2	2008-11-05 09:18:12.938+01	1	2009-03-18 10:50:19.475958+01
20	VIRUS1	1	2	2008-11-05 09:18:25.098+01	1	2009-03-18 10:50:19.475958+01
21	VIRUS2	1	2	2008-11-05 09:18:25.098+01	1	2009-03-18 10:50:19.475958+01
22	BACTERIUM1	6	2	2008-11-05 09:18:25.91+01	1	2009-03-18 10:50:19.475958+01
23	BACTERIUM2	6	2	2008-11-05 09:18:25.91+01	1	2009-03-18 10:50:19.475958+01
24	NEUTRAL	5	2	2008-11-05 09:18:26.784+01	1	2009-03-18 10:50:19.475958+01
25	INHIBITOR	5	2	2008-11-05 09:18:26.784+01	1	2009-03-18 10:50:19.475958+01
26	C-NO-SEC	5	2	2008-11-05 09:18:26.784+01	1	2009-03-18 10:50:19.475958+01
27	C-NO-TIME	5	2	2008-11-05 09:18:26.784+01	1	2009-03-18 10:50:19.475958+01
30	XXXXX-ALL	5	2	2008-11-05 09:18:29.437+01	1	2009-03-18 10:50:19.475958+01
31	X-NO-DESC	5	2	2008-11-05 09:18:29.437+01	1	2009-03-18 10:50:19.475958+01
32	X-NO-SIZE	5	2	2008-11-05 09:18:29.437+01	1	2009-03-18 10:50:19.475958+01
33	X-NO-VOL	5	2	2008-11-05 09:18:29.437+01	1	2009-03-18 10:50:19.475958+01
34	BACTERIUM-X	6	2	2008-11-05 09:18:32.871+01	1	2009-03-18 10:50:19.475958+01
35	BACTERIUM-Y	6	2	2008-11-05 09:18:32.871+01	1	2009-03-18 10:50:19.475958+01
36	MYGENE1	3	2	2008-11-05 09:18:36.259+01	1	2009-03-18 10:50:19.475958+01
37	MYGENE2	3	2	2008-11-05 09:18:36.259+01	1	2009-03-18 10:50:19.475958+01
38	913	3	2	2008-11-05 09:18:36.259+01	1	2009-03-18 10:50:19.475958+01
39	1384	3	2	2008-11-05 09:18:36.259+01	1	2009-03-18 10:50:19.475958+01
40	1	3	2	2008-11-05 09:18:36.259+01	1	2009-03-18 10:50:19.475958+01
