1	2	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.085+02
2	4	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.089+02
3	5	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.09+02
4	6	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.09+02
5	7	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02
6	8	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02
7	9	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02
8	10	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02
9	11	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02
10	12	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02
11	5	4	\N	12	\N	2	2009-09-15 08:45:48.059548+02	2009-09-15 08:45:48.639+02
12	5	3	\N	\N	22	2	2009-09-15 08:45:48.059548+02	2009-09-15 08:45:48.64+02
13	5	2	\N	\N	2498	2	2009-09-15 08:45:48.059548+02	2009-09-15 08:45:48.64+02
