1	1	1	t	t	2008-11-05 09:18:00.622+01	1	\N	1	\N	t	f
2	6	1	t	t	2008-11-05 09:18:00.622+01	1	\N	1	\N	t	f
3	7	1	t	t	2008-11-05 09:18:00.622+01	1	\N	1	\N	t	f
4	3	2	t	t	2008-11-05 09:18:00.622+01	1	\N	1	\N	t	f
5	3	1	f	t	2008-11-05 09:18:00.622+01	1	\N	2	\N	t	f
6	4	3	t	t	2008-11-05 09:18:00.622+01	1	\N	1	\N	t	f
7	4	5	f	t	2008-11-05 09:18:00.622+01	1	\N	2	\N	t	f
8	4	1	f	t	2008-11-05 09:18:00.622+01	1	\N	3	\N	t	f
9	5	1	f	t	2008-11-05 09:18:00.622+01	1	\N	1	\N	t	f
10	4	4	t	f	2008-11-05 09:18:16.435+01	2	\N	4	\N	t	f
11	5	10	f	f	2008-11-05 09:18:16.903+01	2	\N	2	\N	t	f
12	5	11	f	f	2008-11-05 09:18:17.106+01	2	\N	3	\N	t	f
17	5	7	f	f	2008-11-05 09:18:28.391+01	2	\N	4	\N	t	f
18	5	9	f	f	2008-11-05 09:18:28.86+01	2	\N	5	\N	t	f
19	5	8	f	f	2008-11-05 09:18:29+01	2	\N	6	\N	t	f
22	6	15	f	f	2008-11-05 09:18:32.512+01	2	\N	2	\N	t	f
23	8	1	t	t	2008-11-05 09:18:32.512+01	2	\N	1	\N	t	f
24	8	26	f	f	2012-03-13 09:18:32.512+01	2	\N	2	\N	t	f
25	9	2	t	t	2008-11-05 09:18:00.622+01	1	\N	1	\N	t	f
26	9	1	f	t	2008-11-05 09:18:00.622+01	1	\N	2	\N	t	f
27	10	1	t	t	2008-11-05 09:18:32.512+01	2	\N	1	\N	t	f
28	10	26	f	f	2012-03-13 09:18:32.512+01	2	\N	2	\N	t	f
29	11	1	f	f	2012-03-13 09:18:32.512+01	2	\N	2	\N	t	f
30	11	15	f	f	2012-03-13 09:18:32.512+01	2	\N	2	\N	t	f
31	11	25	f	f	2012-03-13 09:18:32.512+01	2	\N	2	\N	t	f
