2	20081105092158673-1	2	\N	2008-11-05 09:21:58.688+01	2008-11-05 09:21:58.798+01	f	t	2009-03-23 15:34:44.462776+01	2	1	f	982	\N	\N	\N	1	\N	0	\N
4	20081105092159188-3	2	\N	2008-11-05 09:21:59.203+01	2008-11-05 09:21:59.313+01	f	t	2009-03-23 15:34:44.462776+01	2	1	t	\N	\N	\N	\N	\N	\N	0	\N
5	20081105092159111-1	2	\N	2008-11-05 09:21:59.203+01	2009-02-09 12:20:21.646654+01	f	t	2009-03-23 15:34:44.462776+01	18	1	f	1042	\N	\N	\N	\N	\N	0	\N
6	20081105092159222-2	2	\N	2008-11-05 09:21:59.203+01	2009-02-09 12:21:11.479816+01	f	t	2009-03-23 15:34:44.462776+01	19	1	f	1043	\N	\N	\N	\N	\N	0	\N
7	20081105092159333-3	2	\N	2008-11-05 09:21:59.203+01	2009-02-09 12:21:47.815468+01	f	t	2009-03-23 15:34:44.462776+01	20	1	f	1044	\N	\N	\N	\N	\N	0	\N
8	20081105092259000-8	2	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	8	1	t	\N	\N	\N	\N	\N	\N	0	\N
9	20081105092259000-9	2	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	8	1	t	\N	\N	\N	\N	\N	\N	0	\N
10	20081105092259900-0	2	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	8	1	t	\N	\N	\N	\N	\N	\N	0	\N
11	20081105092259900-1	2	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	8	1	t	\N	\N	\N	\N	\N	\N	0	\N
12	20081105092359990-2	2	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	8	1	t	\N	\N	\N	\N	\N	\N	0	\N
13	20110509092359990-10	4	\N	2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	f	t	2011-05-09 16:34:44.462776+02	8	1	t	\N	\N	\N	\N	\N	\N	0	\N
14	20110509092359990-11	2	\N	2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	f	t	2011-05-09 16:34:44.462776+02	8	1	t	\N	\N	1	13	\N	\N	0	\N
15	20110509092359990-12	2	\N	2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	f	t	2011-05-09 16:34:44.462776+02	8	1	t	\N	\N	2	13	\N	\N	0	\N
17	20110805092359990-17	2	\N	2008-11-05 09:21:59.203+01	2009-02-09 12:21:47.815468+01	f	t	2009-03-23 15:34:44.462776+01	20	1	f	1044	\N	\N	\N	\N	\N	0	\N
18	20081105092259000-18	2	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	8	1	t	\N	\N	\N	\N	\N	\N	0	\N
19	20081105092259000-19	4	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	8	1	t	\N	2	\N	\N	\N	\N	0	\N
20	20081105092259000-20	2	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	8	1	t	\N	2	\N	\N	\N	\N	0	\N
21	20081105092259000-21	2	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	8	1	t	\N	2	\N	\N	\N	\N	0	\N
22	20120619092259000-22	2	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	23	1	t	\N	2	\N	\N	\N	\N	0	\N
23	20120628092259000-23	5	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	23	1	t	\N	2	\N	\N	\N	\N	0	\N
24	20120628092259000-24	5	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	23	1	t	\N	2	\N	\N	\N	\N	0	\N
25	20120628092259000-25	5	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	23	1	t	\N	2	\N	\N	\N	\N	0	\N
26	VALIDATIONS_CNTNR-26	6	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	23	1	t	\N	2	\N	\N	\N	\N	0	\N
27	VALIDATIONS_IMPOS-27	7	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	23	1	t	\N	2	1	26	\N	\N	0	\N
28	VALIDATIONS_PARENT-28	8	\N	2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	f	t	2009-03-23 15:34:44.462776+01	23	1	t	\N	2	\N	\N	\N	\N	0	\N
29	ROOT_CONTAINER	4	\N	2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	f	t	2011-05-09 16:34:44.462776+02	8	1	t	\N	\N	\N	\N	\N	\N	0	\N
30	CONTAINER_1	4	\N	2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	f	t	2011-05-09 16:34:44.462776+02	8	1	t	\N	\N	\N	29	\N	\N	0	\N
31	CONTAINER_2	4	\N	2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	f	t	2011-05-09 16:34:44.462776+02	8	1	t	\N	\N	\N	29	\N	\N	0	\N
32	COMPONENT_1A	2	\N	2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	f	t	2011-05-09 16:34:44.462776+02	8	1	t	\N	\N	1	30	\N	\N	0	\N
33	COMPONENT_2A	2	\N	2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	f	t	2011-05-09 16:34:44.462776+02	8	1	t	\N	\N	1	31	\N	\N	0	\N
34	COMPONENT_1B	2	\N	2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	f	t	2011-05-09 16:34:44.462776+02	8	1	t	\N	\N	1	30	\N	\N	0	\N
