7	8	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
5	9	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
6	9	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
7	9	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
9	10	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
9	11	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
10	12	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
11	12	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
17	18	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
2	4	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
2	9	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
19	20	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
19	21	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
28	27	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	0
