7	8	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
5	9	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
6	9	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
7	9	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
9	10	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
9	11	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
10	12	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
11	12	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
17	18	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
2	4	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
2	9	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
19	20	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
19	21	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
28	27	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	1	\N
13	14	\N	1	2011-05-09 10:22:59.313+02	2011-05-09 16:34:44.462776+02	3	1
13	15	\N	1	2011-05-09 10:22:59.313+02	2011-05-09 16:34:44.462776+02	3	2
26	27	\N	1	2008-11-05 09:22:59.313+01	2009-03-23 15:34:44.462776+01	3	1
29	30	\N	1	2011-05-09 10:22:59.313+02	2011-05-09 16:34:44.462776+02	3	1
29	31	\N	1	2011-05-09 10:22:59.313+02	2011-05-09 16:34:44.462776+02	3	2
30	32	\N	1	2011-05-09 10:22:59.313+02	2011-05-09 16:34:44.462776+02	3	1
31	33	\N	1	2011-05-09 10:22:59.313+02	2011-05-09 16:34:44.462776+02	3	1
30	34	\N	1	2011-05-09 10:22:59.313+02	2011-05-09 16:34:44.462776+02	3	1
36	38	\N	1	2011-05-09 10:22:59.313+02	2011-05-09 16:34:44.462776+02	3	1
36	39	\N	1	2011-05-09 10:22:59.313+02	2011-05-09 16:34:44.462776+02	3	1
37	39	\N	1	2011-05-09 10:22:59.313+02	2011-05-09 16:34:44.462776+02	3	1
37	40	\N	1	2011-05-09 10:22:59.313+02	2011-05-09 16:34:44.462776+02	3	1
