2	xxx/yyy/zzz	1	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
4	analysis/result	2	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
5	a/1	1	1	4	U	\N	AVAILABLE	42	4711	f	42	f	t	t
6	a/2	2	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
7	a/3	3	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
8	xml/result-8	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
9	xml/result-9	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
10	xml/result-10	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
11	xml/result-11	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
12	xml/result-12	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
14	contained/20110509092359990-11	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
15	contained/20110509092359990-12	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
17	a/4	4	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
18	xml/result-18	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
20	xml/result-20	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
21	xml/result-21	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
22	xml/result-22	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
27	xml/result-27	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
28	xml/result-28	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
32	contained/COMPONENT_1A	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
33	contained/COMPONENT_2A	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
34	contained/COMPONENT_1B	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
35	xml/dataset-to-delete	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
38	contained/COMPONENT_3A	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
39	contained/COMPONENT_3AB	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
40	contained/COMPONENT_3Ax	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50	t	t	t
