1	CL1	5	2008-11-05 09:18:19.915+01	2		1		2009-03-18 10:50:19.475958+01		200811050919915-8	6	CL1,-1,-1,1		0			f	f	f	f	f	f	f	f	f	'-8':2 '200811050919915':1 'cl1':3
2	A01	6	2008-11-05 09:18:19.915+01	2		1	1	2009-03-18 10:50:19.475958+01		200811050919915-9		A01,1,-1,1		0			f	f	f	f	f	f	f	f	f	'-9':2 '200811050919915':1 'a01':3
3	A03	6	2008-11-05 09:18:19.915+01	2		1	1	2009-03-18 10:50:19.475958+01		200811050919915-10		A03,1,-1,1		0			f	f	f	f	f	f	f	f	f	'-10':2 '200811050919915':1 'a03':3
5	A03	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-11		A03,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-11':2 '200811050948718':1 'a03':3
6	A04	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-12		A04,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-12':2 '200811050948718':1 'a04':3
7	A05	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-13		A05,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-13':2 '200811050948718':1 'a05':3
8	A06	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-14		A06,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-14':2 '200811050948718':1 'a06':3
9	A07	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-15		A07,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-15':2 '200811050948718':1 'a07':3
10	A08	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-16		A08,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-16':2 '200811050948718':1 'a08':3
11	A09	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-17		A09,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-17':2 '200811050948718':1 'a09':3
12	A10	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-18		A10,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-18':2 '200811050948718':1 'a10':3
13	A11	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-19		A11,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-19':2 '200811050948718':1 'a11':3
14	A12	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-20		A12,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-20':2 '200811050948718':1 'a12':3
15	A13	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-21		A13,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-21':2 '200811050948718':1 'a13':3
16	A14	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-22		A14,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-22':2 '200811050948718':1 'a14':3
17	A15	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-23		A15,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-23':2 '200811050948718':1 'a15':3
18	A16	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-24		A16,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-24':2 '200811050948718':1 'a16':3
19	A17	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-25		A17,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-25':2 '200811050948718':1 'a17':3
20	A18	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-26		A18,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-26':2 '200811050948718':1 'a18':3
21	A19	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-27		A19,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-27':2 '200811050948718':1 'a19':3
22	A20	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-28		A20,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-28':2 '200811050948718':1 'a20':3
23	A21	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-29		A21,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-29':2 '200811050948718':1 'a21':3
24	A22	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-30		A22,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-30':2 '200811050948718':1 'a22':3
25	B03	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-31		B03,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-31':2 '200811050948718':1 'b03':3
26	B04	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-32		B04,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-32':2 '200811050948718':1 'b04':3
27	B05	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-33		B05,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-33':2 '200811050948718':1 'b05':3
28	B06	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-34		B06,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-34':2 '200811050948718':1 'b06':3
29	B07	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-35		B07,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-35':2 '200811050948718':1 'b07':3
30	B08	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-36		B08,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-36':2 '200811050948718':1 'b08':3
31	B09	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-37		B09,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-37':2 '200811050948718':1 'b09':3
32	B10	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01		200811050948718-38		B10,4,-1,1		0			f	f	f	f	f	f	f	f	f	'-38':2 '200811050948718':1 'b10':3
