13	20110509092359990-10	4		2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	t	2011-05-09 16:34:44.462776+02	8	1	t				2	0		2014-04-01 09:56:25.410678+02	CONTAINER	f	f	f	f	f	f	f	'-10':3 '20110509092359990':2 'container':1
19	20081105092259000-19	4		2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	t	2009-03-23 15:34:44.462776+01	8	1	t		2		2	0		2014-04-01 09:56:25.410678+02	CONTAINER	f	f	f	f	f	f	f	'-19':3 '20081105092259000':2 'container':1
26	VALIDATIONS_CNTNR-26	6		2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	t	2009-03-23 15:34:44.462776+01	23	1	t		2		2	0		2014-04-01 09:56:25.410678+02	CONTAINER	f	f	f	f	f	f	f	'-26':4 'cntnr':3 'container':1 'validations':2
29	ROOT_CONTAINER	4		2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	t	2011-05-09 16:34:44.462776+02	8	1	t				2	0		2014-04-01 09:56:25.410678+02	CONTAINER	f	f	f	f	f	f	f	'container':1,3 'root':2
30	CONTAINER_1	4		2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	t	2011-05-09 16:34:44.462776+02	8	1	t				2	0		2014-04-01 09:56:25.410678+02	CONTAINER	f	f	f	f	f	f	f	'1':3 'container':1,2
31	CONTAINER_2	4		2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	t	2011-05-09 16:34:44.462776+02	8	1	t				2	0		2014-04-01 09:56:25.410678+02	CONTAINER	f	f	f	f	f	f	f	'2':3 'container':1,2
36	CONTAINER_3A	4		2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	t	2011-05-09 16:34:44.462776+02	8	1	t				2	0		2014-04-01 09:56:25.410678+02	CONTAINER	f	f	f	f	f	f	f	'3a':3 'container':1,2
37	CONTAINER_3B	4		2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	t	2011-05-09 16:34:44.462776+02	8	1	t				2	0		2014-04-01 09:56:25.410678+02	CONTAINER	f	f	f	f	f	f	f	'3b':3 'container':1,2
2	20081105092158673-1	2		2008-11-05 09:21:58.688+01	2008-11-05 09:21:58.798+01	t	2009-03-23 15:34:44.462776+01	2	1	f	982		1	2	0		2011-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-1':3 '20081105092158673':2 'physical':1
4	20081105092159188-3	2		2008-11-05 09:21:59.203+01	2008-11-05 09:21:59.313+01	t	2009-03-23 15:34:44.462776+01	2	1	t				2	0		2011-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-3':3 '20081105092159188':2 'physical':1
5	20081105092159111-1	2		2008-11-05 09:21:59.203+01	2009-02-09 12:20:21.646654+01	t	2009-03-23 15:34:44.462776+01	18	1	f	1042			2	0		2011-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-1':3 '20081105092159111':2 'physical':1
6	20081105092159222-2	2		2008-11-05 09:21:59.203+01	2009-02-09 12:21:11.479816+01	t	2009-03-23 15:34:44.462776+01	19	1	f	1043			2	0		2011-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-2':3 '20081105092159222':2 'physical':1
7	20081105092159333-3	2		2008-11-05 09:21:59.203+01	2009-02-09 12:21:47.815468+01	t	2009-03-23 15:34:44.462776+01	20	1	f	1044			2	0		2011-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-3':3 '20081105092159333':2 'physical':1
8	20081105092259000-8	2		2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	t	2009-03-23 15:34:44.462776+01	8	1	t				2	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-8':3 '20081105092259000':2 'physical':1
9	20081105092259000-9	2		2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	t	2009-03-23 15:34:44.462776+01	8	1	t				2	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-9':3 '20081105092259000':2 'physical':1
10	20081105092259900-0	2		2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	t	2009-03-23 15:34:44.462776+01	8	1	t				2	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-0':3 '20081105092259900':2 'physical':1
11	20081105092259900-1	2		2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	t	2009-03-23 15:34:44.462776+01	8	1	t		4		2	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-1':3 '20081105092259900':2 'physical':1
12	20081105092359990-2	2		2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	t	2009-03-23 15:34:44.462776+01	8	1	t		4		2	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-2':3 '20081105092359990':2 'physical':1
14	20110509092359990-11	2		2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	t	2011-05-09 16:34:44.462776+02	8	1	t				4	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-11':3 '20110509092359990':2 'physical':1
15	20110509092359990-12	2		2011-05-09 10:22:59.203+02	2011-05-09 10:22:59.313+02	t	2011-05-09 16:34:44.462776+02	8	1	t				4	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-12':3 '20110509092359990':2 'physical':1
17	20110805092359990-17	2		2008-11-05 09:21:59.203+01	2009-02-09 12:21:47.815468+01	t	2009-03-23 15:34:44.462776+01	20	1	f	1044			2	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-17':3 '20110805092359990':2 'physical':1
18	20081105092259000-18	2		2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	t	2009-03-23 15:34:44.462776+01	8	1	t				2	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-18':3 '20081105092259000':2 'physical':1
20	20081105092259000-20	2		2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	t	2009-03-23 15:34:44.462776+01	8	1	t		2		2	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-20':3 '20081105092259000':2 'physical':1
21	20081105092259000-21	2		2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	t	2009-03-23 15:34:44.462776+01	8	1	t		2		2	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-21':3 '20081105092259000':2 'physical':1
22	20120619092259000-22	2		2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	t	2009-03-23 15:34:44.462776+01	23	1	t		2		2	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-22':3 '20120619092259000':2 'physical':1
27	VALIDATIONS_IMPOS-27	7		2008-11-05 09:22:59.203+01	2008-11-05 09:22:59.313+01	t	2009-03-23 15:34:44.462776+01	23	1	t		2		2	0		2014-04-01 09:56:25.410678+02	PHYSICAL	f	f	f	f	f	f	f	'-27':4 'impos':3 'physical':1 'validations':2
