1	AD3	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'ad3':2B 'ad3 (virus)':1A
2	AD5	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'ad5':2B 'ad5 (virus)':1A
3	DV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'dv':2B 'dv (virus)':1A
4	EV1	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'ev1':2B 'ev1 (virus)':1A
5	FLU	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'flu':2B 'flu (virus)':1A
6	HRV2	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'hrv2':2B 'hrv2 (virus)':1A
7	HSV1	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'hsv1':2B 'hsv1 (virus)':1A
8	MHV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'mhv':2B 'mhv (virus)':1A
9	ROTAV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'rotav':2B 'rotav (virus)':1A
10	RRV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'rrv':2B 'rrv (virus)':1A
11	RSV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'rsv':2B 'rsv (virus)':1A
12	RV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'rv':2B 'rv (virus)':1A
13	SFV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'sfv':2B 'sfv (virus)':1A
14	SV40	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'sv40':2B 'sv40 (virus)':1A
15	VSV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'vsv':2B 'vsv (virus)':1A
16	VV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'vv':2B 'vv (virus)':1A
17	YFV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'yfv':2B 'yfv (virus)':1A
18	GFP	5	2	2008-11-05 09:18:12.938+01	2009-03-18 10:50:19.475958+01	'gfp':2B 'gfp (control)':1A
19	SCRAM	5	2	2008-11-05 09:18:12.938+01	2009-03-18 10:50:19.475958+01	'scram':2B 'scram (control)':1A
20	VIRUS1	1	2	2008-11-05 09:18:25.098+01	2009-03-18 10:50:19.475958+01	'virus1':2B 'virus1 (virus)':1A
21	VIRUS2	1	2	2008-11-05 09:18:25.098+01	2009-03-18 10:50:19.475958+01	'virus2':2B 'virus2 (virus)':1A
22	BACTERIUM1	6	4	2008-11-05 09:18:25.91+01	2009-03-18 10:50:19.475958+01	'bacterium1':2B 'bacterium1 (bacterium)':1A
23	BACTERIUM2	6	4	2008-11-05 09:18:25.91+01	2009-03-18 10:50:19.475958+01	'bacterium2':2B 'bacterium2 (bacterium)':1A
24	NEUTRAL	5	2	2008-11-05 09:18:26.784+01	2009-03-18 10:50:19.475958+01	'neutral':2B 'neutral (control)':1A
25	INHIBITOR	5	2	2008-11-05 09:18:26.784+01	2009-03-18 10:50:19.475958+01	'inhibitor':2B 'inhibitor (control)':1A
26	C-NO-SEC	5	2	2008-11-05 09:18:26.784+01	2009-03-18 10:50:19.475958+01	'c-no-sec':2B 'c-no-sec (control)':1A
27	C-NO-TIME	5	2	2008-11-05 09:18:26.784+01	2009-03-18 10:50:19.475958+01	'c-no-time':2B 'c-no-time (control)':1A
