1	CL1	5	2008-11-05 09:18:19.915+01	2	\N	1	\N	2009-03-18 10:50:19.475958+01	\N	200811050919915-8	6	CL1,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f
2	A01	6	2008-11-05 09:18:19.915+01	2	\N	1	1	2009-03-18 10:50:19.475958+01	\N	200811050919915-9	\N	A01,1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f
3	A03	6	2008-11-05 09:18:19.915+01	2	\N	1	1	2009-03-18 10:50:19.475958+01	\N	200811050919915-10	\N	A03,1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f
5	A03	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-11	\N	A03,4,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f
6	A04	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-12	\N	A04,4,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f
7	A05	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-13	\N	A05,4,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f
8	A06	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-14	\N	A06,4,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f
9	A07	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-15	\N	A07,4,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f
10	A08	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-16	\N	A08,4,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f
11	A09	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-17	\N	A09,4,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f
12	A10	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-18	\N	A10,4,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f
