7	8	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
5	9	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
6	9	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
7	9	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
9	10	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
9	11	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
10	12	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
11	12	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
17	18	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
2	4	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
2	9	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
19	20	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
19	21	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
28	27	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
