1	CL1	\N	\N	5	2008-11-05 09:18:19.915+01	2	\N	\N	\N	1	\N	\N
2	A01	\N	\N	6	2008-11-05 09:18:19.915+01	2	\N	\N	\N	1	1	\N
3	A03	\N	\N	6	2008-11-05 09:18:19.915+01	2	\N	\N	\N	1	1	\N
5	A03	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
6	A04	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
7	A05	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
8	A06	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
9	A07	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
10	A08	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
11	A09	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
12	A10	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
13	A11	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
14	A12	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
15	A13	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
16	A14	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
17	A15	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
18	A16	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
19	A17	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
20	A18	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
21	A19	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
22	A20	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
23	A21	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
24	A22	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
25	B03	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
26	B04	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
27	B05	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
28	B06	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
29	B07	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
30	B08	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
31	B09	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
32	B10	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
33	B11	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
34	B12	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
35	B13	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
36	B14	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
37	B15	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
38	B16	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
39	B17	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
40	B18	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
41	B19	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	\N
