1	1	6	t	t	1	2008-11-05 09:18:00.622+01	t	\N	1	\N	t
2	5	6	t	t	1	2008-11-05 09:18:00.622+01	t	\N	1	\N	t
3	1	1	f	f	2	2008-11-05 09:18:18.183+01	f	\N	2	\N	t
4	5	1	f	f	2	2008-11-05 09:18:19.432+01	f	\N	2	\N	t
7	3	14	f	f	2	2009-02-09 12:07:19.107679+01	f	\N	1	\N	t
8	3	15	f	f	2	2009-02-09 12:07:26.839487+01	f	\N	2	\N	t
9	3	8	f	f	2	2009-02-09 12:07:34.437531+01	f	\N	3	\N	t
11	3	26	f	f	2	2009-08-18 17:53:21.362126+02	f	\N	4	\N	t
12	3	25	f	f	2	2009-08-18 17:53:26.884669+02	f	\N	5	\N	t
13	2	5	f	f	2	2010-10-25 14:49:35.990096+02	t	\N	1	\N	t
14	7	27	f	f	2	2012-04-16 14:49:35.990096+02	t	\N	1	2	t
15	7	14	f	f	2	2009-02-09 12:07:19.107679+01	f	\N	2	\N	t
