1	CL1	5	2008-11-05 09:18:19.915+01	2	\N	1	\N	2009-03-18 10:50:19.475958+01	\N	200811050919915-8	6	CL1,-1,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f	/CISD/CL1	'/cisd/cl1':3 '200811050919915-8':1 'cl1':2
2	A01	6	2008-11-05 09:18:19.915+01	2	\N	1	1	2009-03-18 10:50:19.475958+01	\N	200811050919915-9	\N	A01,1,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f	/CISD/CL1:A01	'/cisd/cl1:a01':3 '200811050919915-9':1 'a01':2
3	A03	6	2008-11-05 09:18:19.915+01	2	\N	1	1	2009-03-18 10:50:19.475958+01	\N	200811050919915-10	\N	A03,1,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f	/CISD/CL1:A03	'/cisd/cl1:a03':3 '200811050919915-10':1 'a03':2
5	A03	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-11	\N	A03,4,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f	/CISD/MP001-1:A03	'/cisd/mp001-1:a03':3 '200811050948718-11':1 'a03':2
6	A04	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-12	\N	A04,4,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f	/CISD/MP001-1:A04	'/cisd/mp001-1:a04':3 '200811050948718-12':1 'a04':2
7	A05	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-13	\N	A05,4,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f	/CISD/MP001-1:A05	'/cisd/mp001-1:a05':3 '200811050948718-13':1 'a05':2
8	A06	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-14	\N	A06,4,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f	/CISD/MP001-1:A06	'/cisd/mp001-1:a06':3 '200811050948718-14':1 'a06':2
9	A07	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-15	\N	A07,4,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f	/CISD/MP001-1:A07	'/cisd/mp001-1:a07':3 '200811050948718-15':1 'a07':2
10	A08	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-16	\N	A08,4,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f	/CISD/MP001-1:A08	'/cisd/mp001-1:a08':3 '200811050948718-16':1 'a08':2
11	A09	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-17	\N	A09,4,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f	/CISD/MP001-1:A09	'/cisd/mp001-1:a09':3 '200811050948718-17':1 'a09':2
12	A10	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-18	\N	A10,4,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f	/CISD/MP001-1:A10	'/cisd/mp001-1:a10':3 '200811050948718-18':1 'a10':2
13	A11	6	2008-11-05 09:19:48.718+01	2	3	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-19	\N	A11,4,-1,1	\N	0	\N	\N	f	f	f	f	f	f	f	f	f	/CISD/MP001-1:A11	'/cisd/mp001-1:a11':3 '200811050948718-19':1 'a11':2
