14	7	27	f	f	2	2012-04-16 14:49:35.990096+02	t	\N	1	2	t	f	f
1	1	6	t	t	1	2008-11-05 09:18:00.622+01	t	\N	1	\N	t	f	f
2	5	6	t	t	1	2008-11-05 09:18:00.622+01	t	\N	1	\N	t	f	f
3	1	1	f	f	2	2008-11-05 09:18:18.183+01	f	\N	2	\N	t	f	f
4	5	1	f	f	2	2008-11-05 09:18:19.432+01	f	\N	2	\N	t	f	f
7	3	14	f	f	2	2009-02-09 12:07:19.107679+01	f	\N	1	\N	t	f	f
8	3	15	f	f	2	2009-02-09 12:07:26.839487+01	f	\N	2	\N	t	f	f
9	3	8	f	f	2	2009-02-09 12:07:34.437531+01	f	\N	3	\N	t	f	f
11	3	26	f	f	2	2009-08-18 17:53:21.362126+02	f	\N	4	\N	t	f	f
12	3	25	f	f	2	2009-08-18 17:53:26.884669+02	f	\N	5	\N	t	f	f
13	2	5	f	f	2	2010-10-25 14:49:35.990096+02	t	\N	1	\N	t	f	f
15	7	14	f	f	2	2009-02-09 12:07:19.107679+01	f	\N	2	\N	t	f	f
16	11	28	f	f	2	2009-02-09 12:07:19.107679+01	f	\N	1	\N	t	f	f
17	12	1	f	f	2	2009-02-09 12:12:05.238758+01	f	\N	1	\N	t	f	f
18	12	15	f	f	2	2009-02-09 12:12:05.238758+01	f	\N	1	\N	t	f	f
19	12	25	f	f	2	2009-02-09 12:12:05.238758+01	f	\N	1	\N	t	f	f
20	10	14	f	f	2	2009-02-09 12:07:19.107679+01	f	\N	1	\N	t	f	f
21	11	15	f	f	2	2009-02-09 12:12:05.238758+01	f	\N	1	\N	t	f	f
