1	2	14	t	f	2	2009-04-24 14:45:06.348563+02	\N	1	\N	t	f	f
2	2	26	f	f	2	2009-09-15 08:44:10.351183+02	\N	2	\N	t	f	f
3	2	25	f	f	2	2009-09-15 08:44:16.365221+02	\N	3	\N	t	f	f
4	2	13	f	f	2	2009-09-15 08:44:36.342115+02	\N	4	\N	t	f	f
5	10	1	f	f	2	2009-02-09 12:12:05.238758+01	\N	3	\N	t	f	f
6	10	15	f	f	2	2009-02-09 12:12:05.238758+01	\N	3	\N	t	f	f
7	10	25	f	f	2	2009-02-09 12:12:05.238758+01	\N	3	\N	t	f	f
8	11	1	f	f	2	2009-02-09 12:12:05.238758+01	\N	3	\N	t	f	f
9	11	15	f	f	2	2009-02-09 12:12:05.238758+01	\N	3	\N	t	f	f
10	11	25	f	f	2	2009-02-09 12:12:05.238758+01	\N	3	\N	t	f	f
