1	1	1	t	t	2008-11-05 09:18:00.622+01	1	\N	1	\N
2	6	1	t	t	2008-11-05 09:18:00.622+01	1	\N	1	\N
3	7	1	t	t	2008-11-05 09:18:00.622+01	1	\N	1	\N
4	3	2	t	t	2008-11-05 09:18:00.622+01	1	\N	1	\N
5	3	1	f	t	2008-11-05 09:18:00.622+01	1	\N	2	\N
6	4	3	t	t	2008-11-05 09:18:00.622+01	1	\N	1	\N
7	4	5	f	t	2008-11-05 09:18:00.622+01	1	\N	2	\N
8	4	1	f	t	2008-11-05 09:18:00.622+01	1	\N	3	\N
9	5	1	f	t	2008-11-05 09:18:00.622+01	1	\N	1	\N
10	4	4	t	f	2008-11-05 09:18:16.435+01	2	\N	4	\N
11	5	10	f	f	2008-11-05 09:18:16.903+01	2	\N	2	\N
12	5	11	f	f	2008-11-05 09:18:17.106+01	2	\N	3	\N
17	5	7	f	f	2008-11-05 09:18:28.391+01	2	\N	4	\N
18	5	9	f	f	2008-11-05 09:18:28.86+01	2	\N	5	\N
19	5	8	f	f	2008-11-05 09:18:29+01	2	\N	6	\N
22	6	15	f	f	2008-11-05 09:18:32.512+01	2	\N	2	\N
