2	EXP1	1	2	2008-11-05 09:21:51.882+01	3	\N	f	2009-03-18 10:50:19.475958+01	200811050951882-1028	6	0	\N	f	f	f	f	'/CISD/NEMO/EXP1':3 '200811050951882-1028':1 'EXP1':2
3	EXP10	1	2	2008-11-05 09:21:52.663+01	3	\N	f	2009-03-18 10:50:19.475958+01	200811050952663-1029	6	0	\N	f	f	f	f	'/CISD/NEMO/EXP10':3 '200811050952663-1029':1 'EXP10':2
4	EXP11	1	2	2008-11-05 09:21:52.663+01	3	\N	f	2009-03-18 10:50:19.475958+01	200811050952663-1030	4	0	\N	f	f	f	f	'/CISD/NEMO/EXP11':3 '200811050952663-1030':1 'EXP11':2
6	EXP-X	1	2	2008-11-05 09:22:37.246+01	1	4	f	2009-03-18 10:50:19.475958+01	200811050937246-1031	2	0	\N	f	f	f	f	'/CISD/DEFAULT/EXP-X':3 '200811050937246-1031':1 'EXP-X':2
8	EXP-REUSE	1	2	2008-11-05 09:22:40.555+01	1	\N	f	2009-03-18 10:50:19.475958+01	200811050940555-1032	2	0	\N	f	f	f	f	'/CISD/DEFAULT/EXP-REUSE':3 '200811050940555-1032':1 'EXP-REUSE':2
18	EXP-TEST-1	2	4	2009-02-09 12:10:39.077782+01	3	\N	f	2009-03-18 10:50:19.475958+01	200902091239077-1033	2	0	\N	f	f	f	f	'/CISD/NEMO/EXP-TEST-1':3 '200902091239077-1033':1 'EXP-TEST-1':2
19	EXP-TEST-2	2	2	2009-02-09 12:10:58.949516+01	4	\N	f	2009-03-18 10:50:19.475958+01	200902091258949-1034	2	0	\N	f	f	f	f	'/CISD/NOE/EXP-TEST-2':3 '200902091258949-1034':1 'EXP-TEST-2':2
20	EXP-TEST-2	1	4	2009-02-09 12:17:55.058768+01	3	\N	f	2009-03-18 10:50:19.475958+01	200902091255058-1035	2	0	\N	f	f	f	f	'/CISD/NEMO/EXP-TEST-2':3 '200902091255058-1035':1 'EXP-TEST-2':2
21	EXP-WELLS	1	2	2008-11-05 09:22:37.246+01	1	\N	f	2009-03-18 10:50:19.475958+01	200811050937246-1036	2	0	\N	f	f	f	f	'/CISD/DEFAULT/EXP-WELLS':3 '200811050937246-1036':1 'EXP-WELLS':2
22	EXP-Y	1	2	2008-11-05 09:22:37.246+01	1	\N	f	2009-03-18 10:50:19.475958+01	201108050937246-1031	2	0	\N	f	f	f	f	'/CISD/DEFAULT/EXP-Y':3 '201108050937246-1031':1 'EXP-Y':2
23	EXP-SPACE-TEST	1	2	2008-11-05 09:22:40.555+01	5	\N	f	2009-03-18 10:50:19.475958+01	201206190940555-1032	2	0	\N	f	f	f	f	'/TEST-SPACE/TEST-PROJECT/EXP-SPACE-TEST':3 '201206190940555-1032':1 'EXP-SPACE-TEST':2
24	EXP-TEST-2	1	2	2009-02-09 12:17:55.058768+01	6	\N	f	2009-03-18 10:50:19.475958+01	200902091255058-1037	2	0	\N	f	f	f	f	'/TEST-SPACE/NOE/EXP-TEST-2':3 '200902091255058-1037':1 'EXP-TEST-2':2
25	EXPERIMENT-TO-DELETE	1	2	2009-02-09 12:17:55.058768+01	6	\N	f	2009-03-18 10:50:19.475958+01	200902091255058-1038	2	0	\N	f	f	f	f	'/TEST-SPACE/NOE/EXPERIMENT-TO-DELETE':3 '200902091255058-1038':1 'EXPERIMENT-TO-DELETE':2
