1	MP001-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
2	MP002-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
3	MP003-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
4	MP004-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
5	MP005-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
6	MP006-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
7	MP007-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
8	MP008-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
9	MP009-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
10	MP010-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
11	MP011-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
12	MP012-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
13	MP013-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
14	MP014-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
15	MP015-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
16	MP016-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
17	MP017-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
18	MP018-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
19	MP019-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
20	MP020-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
21	MP021-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
22	MP022-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
23	MP023-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
24	MP024-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
25	MP025-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N	1	\N	\N
