1	AD3	1	2	\N	2008-11-05 09:18:12.173+01	1
2	AD5	1	2	\N	2008-11-05 09:18:12.173+01	1
3	DV	1	2	\N	2008-11-05 09:18:12.173+01	1
4	EV1	1	2	\N	2008-11-05 09:18:12.173+01	1
5	FLU	1	2	\N	2008-11-05 09:18:12.173+01	1
6	HRV2	1	2	\N	2008-11-05 09:18:12.173+01	1
7	HSV1	1	2	\N	2008-11-05 09:18:12.173+01	1
8	MHV	1	2	\N	2008-11-05 09:18:12.173+01	1
9	ROTAV	1	2	\N	2008-11-05 09:18:12.173+01	1
10	RRV	1	2	\N	2008-11-05 09:18:12.173+01	1
11	RSV	1	2	\N	2008-11-05 09:18:12.173+01	1
12	RV	1	2	\N	2008-11-05 09:18:12.173+01	1
13	SFV	1	2	\N	2008-11-05 09:18:12.173+01	1
14	SV40	1	2	\N	2008-11-05 09:18:12.173+01	1
15	VSV	1	2	\N	2008-11-05 09:18:12.173+01	1
16	VV	1	2	\N	2008-11-05 09:18:12.173+01	1
17	YFV	1	2	\N	2008-11-05 09:18:12.173+01	1
18	GFP	5	2	\N	2008-11-05 09:18:12.938+01	1
19	SCRAM	5	2	\N	2008-11-05 09:18:12.938+01	1
20	VIRUS1	1	2	\N	2008-11-05 09:18:25.098+01	1
21	VIRUS2	1	2	\N	2008-11-05 09:18:25.098+01	1
22	BACTERIUM1	6	2	\N	2008-11-05 09:18:25.91+01	1
23	BACTERIUM2	6	2	\N	2008-11-05 09:18:25.91+01	1
24	NEUTRAL	5	2	\N	2008-11-05 09:18:26.784+01	1
25	INHIBITOR	5	2	\N	2008-11-05 09:18:26.784+01	1
26	C-NO-SEC	5	2	\N	2008-11-05 09:18:26.784+01	1
27	C-NO-TIME	5	2	\N	2008-11-05 09:18:26.784+01	1
30	XXXXX-ALL	5	2	\N	2008-11-05 09:18:29.437+01	1
31	X-NO-DESC	5	2	\N	2008-11-05 09:18:29.437+01	1
32	X-NO-SIZE	5	2	\N	2008-11-05 09:18:29.437+01	1
