1	1	2	\N	2	2	2008-11-05 09:18:19.915+01
2	1	4	test control layout	\N	2	2008-11-05 09:18:19.915+01
3	4	1	\N	2	2	2008-11-05 09:19:48.718+01
4	325	1	\N	2	2	2008-11-05 09:20:17.877+01
5	646	1	\N	2	2	2008-11-05 09:20:47.161+01
9	974	2	\N	2	2	2008-11-05 09:21:44.03+01
18	994	2	\N	2	2	2008-11-05 09:22:24.274+01
19	997	2	\N	2	2	2008-11-05 09:22:24.898+01
20	999	2	\N	2	2	2008-11-05 09:22:25.507+01
21	1001	2	\N	2	2	2008-11-05 09:22:26.038+01
23	1008	1	\N	2	2	2008-11-05 09:22:27.63+01
24	1013	1	\N	2	2	2008-11-05 09:22:28.301+01
25	1032	1	\N	2	2	2008-11-05 09:22:43.584+01
26	1042	9	123	\N	2	2009-02-09 12:09:19.327518+01
27	1042	8	\N	8	2	2009-02-09 12:09:19.327518+01
28	1042	7	very advanced stuff	\N	2	2009-02-09 12:09:19.327518+01
29	1043	9	321	\N	2	2009-02-09 12:09:50.077973+01
30	1043	8	\N	9	2	2009-02-09 12:09:50.077973+01
31	1043	7	extremely simple stuff	\N	2	2009-02-09 12:09:50.077973+01
32	1044	9	666	\N	2	2009-02-09 12:16:25.616106+01
33	1044	8	\N	10	2	2009-02-09 12:16:25.616106+01
34	1044	7	stuff like others	\N	2	2009-02-09 12:16:25.616106+01
