2	2	1	A simple experiment	\N	2	2008-11-05 09:21:51.882+01
3	3	1	A simple experiment	\N	2	2008-11-05 09:21:52.663+01
4	4	1	A simple experiment	\N	2	2008-11-05 09:21:52.663+01
5	2	5	\N	11	2	2008-11-05 09:21:53.256+01
6	3	5	\N	11	2	2008-11-05 09:21:53.256+01
7	4	5	\N	11	2	2008-11-05 09:21:53.256+01
9	6	1	A simple experiment	\N	2	2008-11-05 09:22:37.246+01
11	8	1	Test of sample reusage from invalidated experiments	\N	2	2008-11-05 09:22:40.555+01
15	18	2	desc1	\N	2	2009-02-09 12:10:39.077782+01
16	19	2	desc2	\N	2	2009-02-09 12:10:58.949516+01
17	20	1	very important expertiment	\N	2	2009-02-09 12:17:55.058768+01
18	20	3	2009-02-09 00:00:00 GMT+01:00	\N	2	2009-02-09 12:17:55.058768+01
19	20	5	\N	12	2	2009-02-09 12:17:55.058768+01
