2	xxx/yyy/zzz	1	1	4	U	\N	AVAILABLE	\N	\N	f	-50
4	analysis/result	2	1	4	U	\N	AVAILABLE	\N	\N	f	-50
5	a/1	1	1	4	U	\N	AVAILABLE	42	4711	f	42
6	a/2	2	1	4	U	\N	AVAILABLE	\N	\N	f	-50
7	a/3	3	1	4	U	\N	AVAILABLE	\N	\N	f	-50
8	xml/result-8	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50
9	xml/result-9	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50
10	xml/result-10	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50
11	xml/result-11	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50
12	xml/result-12	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50
14	contained/1	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50
15	contained/2	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50
17	a/4	4	1	4	U	\N	AVAILABLE	\N	\N	f	-50
18	xml/result-18	8	1	4	U	\N	AVAILABLE	\N	\N	f	-50
