1	AD3	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'ad3':1
2	AD5	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'ad5':1
3	DV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'dv':1
4	EV1	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'ev1':1
5	FLU	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'flu':1
6	HRV2	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'hrv2':1
7	HSV1	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'hsv1':1
8	MHV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'mhv':1
9	ROTAV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'rotav':1
10	RRV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'rrv':1
11	RSV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'rsv':1
12	RV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'rv':1
13	SFV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'sfv':1
14	SV40	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'sv40':1
15	VSV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'vsv':1
16	VV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'vv':1
17	YFV	1	2	2008-11-05 09:18:12.173+01	2009-03-18 10:50:19.475958+01	'yfv':1
18	GFP	5	2	2008-11-05 09:18:12.938+01	2009-03-18 10:50:19.475958+01	'gfp':1
19	SCRAM	5	2	2008-11-05 09:18:12.938+01	2009-03-18 10:50:19.475958+01	'scram':1
20	VIRUS1	1	2	2008-11-05 09:18:25.098+01	2009-03-18 10:50:19.475958+01	'virus1':1
21	VIRUS2	1	2	2008-11-05 09:18:25.098+01	2009-03-18 10:50:19.475958+01	'virus2':1
22	BACTERIUM1	6	4	2008-11-05 09:18:25.91+01	2009-03-18 10:50:19.475958+01	'bacterium1':1
23	BACTERIUM2	6	4	2008-11-05 09:18:25.91+01	2009-03-18 10:50:19.475958+01	'bacterium2':1
24	NEUTRAL	5	2	2008-11-05 09:18:26.784+01	2009-03-18 10:50:19.475958+01	'neutral':1
25	INHIBITOR	5	2	2008-11-05 09:18:26.784+01	2009-03-18 10:50:19.475958+01	'inhibitor':1
26	C-NO-SEC	5	2	2008-11-05 09:18:26.784+01	2009-03-18 10:50:19.475958+01	'c':2 'c-no-sec':1 'no':3 'sec':4
27	C-NO-TIME	5	2	2008-11-05 09:18:26.784+01	2009-03-18 10:50:19.475958+01	'c':2 'c-no-time':1 'no':3 'time':4
30	XXXXX-ALL	5	2	2008-11-05 09:18:29.437+01	2009-03-18 10:50:19.475958+01	'all':3 'xxxxx':2 'xxxxx-all':1
31	X-NO-DESC	5	2	2008-11-05 09:18:29.437+01	2009-03-18 10:50:19.475958+01	'desc':4 'no':3 'x':2 'x-no-desc':1
32	X-NO-SIZE	5	2	2008-11-05 09:18:29.437+01	2009-03-18 10:50:19.475958+01	'no':3 'size':4 'x':2 'x-no-size':1
33	X-NO-VOL	5	2	2008-11-05 09:18:29.437+01	2009-03-18 10:50:19.475958+01	'no':3 'vol':4 'x':2 'x-no-vol':1
34	BACTERIUM-X	6	2	2008-11-05 09:18:32.871+01	2009-03-18 10:50:19.475958+01	'bacterium':2 'bacterium-x':1 'x':3
35	BACTERIUM-Y	6	2	2008-11-05 09:18:32.871+01	2009-03-18 10:50:19.475958+01	'bacterium':2 'bacterium-y':1 'y':3
36	MYGENE1	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'mygene1':1
37	MYGENE2	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'mygene2':1
38	913	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'913':1
39	1384	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'1384':1
40	1	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'1':1
41	2	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'2':1
42	12	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'12':1
43	13	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'13':1
44	18	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'18':1
45	19	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'19':1
46	20	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'20':1
47	21	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'21':1
48	22	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'22':1
49	23	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'23':1
50	24	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'24':1
51	25	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'25':1
52	27	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'27':1
53	31	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'31':1
54	32	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'32':1
55	33	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'33':1
56	34	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'34':1
57	35	3	2	2008-11-05 09:18:36.259+01	2009-03-18 10:50:19.475958+01	'35':1
