7	979	1	989	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
26	1025	1	1030	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
23	1020	1	1025	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
5	979	1	987	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
22	1019	1	1024	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
18	1008	1	1019	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
6	979	1	988	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
3	646	1	981	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
24	1021	1	1026	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
2	325	1	980	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
25	1024	1	1029	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
21	1019	1	1023	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
20	1013	1	1021	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
1	325	1	979	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
4	979	1	986	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
19	1008	1	1020	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
27	1026	1	1031	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
40	994	2	1029	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
29	974	2	987	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
30	974	2	988	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
28	974	2	986	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
37	999	2	1019	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
31	974	2	989	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
36	997	2	1008	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
42	997	2	1031	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
39	994	2	1026	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
38	1001	2	1023	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
41	999	2	1030	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
44	1043	1	1042	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
45	976	1	987	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
46	3	1	976	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
17	4	1	978	3	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
14	984	1	993	2	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
16	4	1	977	3	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
12	983	1	992	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
9	982	1	990	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
10	982	1	991	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
13	979	1	984	2	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
15	979	1	985	2	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
8	977	1	982	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
11	977	1	983	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
33	974	2	983	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
34	974	2	984	2	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
35	974	2	985	2	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
32	974	2	982	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
43	977	1	984	2	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
48	1058	1	1056	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02	f	f
