2	EXP1	1	2	2008-11-05 09:21:51.882+01	3	\N	f	2009-03-18 10:50:19.475958+01	200811050951882-1028	6	0	\N	f	f	f	f
3	EXP10	1	2	2008-11-05 09:21:52.663+01	3	\N	f	2009-03-18 10:50:19.475958+01	200811050952663-1029	6	0	\N	f	f	f	f
4	EXP11	1	2	2008-11-05 09:21:52.663+01	3	\N	f	2009-03-18 10:50:19.475958+01	200811050952663-1030	4	0	\N	f	f	f	f
6	EXP-X	1	2	2008-11-05 09:22:37.246+01	1	4	f	2009-03-18 10:50:19.475958+01	200811050937246-1031	2	0	\N	f	f	f	f
8	EXP-REUSE	1	2	2008-11-05 09:22:40.555+01	1	\N	f	2009-03-18 10:50:19.475958+01	200811050940555-1032	2	0	\N	f	f	f	f
18	EXP-TEST-1	2	4	2009-02-09 12:10:39.077782+01	3	\N	f	2009-03-18 10:50:19.475958+01	200902091239077-1033	2	0	\N	f	f	f	f
19	EXP-TEST-2	2	2	2009-02-09 12:10:58.949516+01	4	\N	f	2009-03-18 10:50:19.475958+01	200902091258949-1034	2	0	\N	f	f	f	f
20	EXP-TEST-2	1	4	2009-02-09 12:17:55.058768+01	3	\N	f	2009-03-18 10:50:19.475958+01	200902091255058-1035	2	0	\N	f	f	f	f
21	EXP-WELLS	1	2	2008-11-05 09:22:37.246+01	1	\N	f	2009-03-18 10:50:19.475958+01	200811050937246-1036	2	0	\N	f	f	f	f
22	EXP-Y	1	2	2008-11-05 09:22:37.246+01	1	\N	f	2009-03-18 10:50:19.475958+01	201108050937246-1031	2	0	\N	f	f	f	f
23	EXP-SPACE-TEST	1	2	2008-11-05 09:22:40.555+01	5	\N	f	2009-03-18 10:50:19.475958+01	201206190940555-1032	2	0	\N	f	f	f	f
24	EXP-TEST-2	1	2	2009-02-09 12:17:55.058768+01	6	\N	f	2009-03-18 10:50:19.475958+01	200902091255058-1037	2	0	\N	f	f	f	f
25	EXPERIMENT-TO-DELETE	1	2	2009-02-09 12:17:55.058768+01	6	\N	f	2009-03-18 10:50:19.475958+01	200902091255058-1038	2	0	\N	f	f	f	f
