1	2	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.085+02	1
2	4	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.089+02	1
3	5	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.09+02	1
4	6	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.09+02	1
5	7	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02	1
6	8	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02	1
7	9	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02	1
8	10	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02	1
9	11	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02	1
10	12	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02	1
11	14	1	non-virtual comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02	1
12	15	1	non-virtual comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02	1
13	5	4	\N	12	\N	2	2009-09-15 08:45:48.059548+02	2009-09-15 08:45:48.639+02	1
14	5	3	\N	\N	22	2	2009-09-15 08:45:48.059548+02	2009-09-15 08:45:48.64+02	1
15	5	2	\N	\N	2498	2	2009-09-15 08:45:48.059548+02	2009-09-15 08:45:48.64+02	1
19	17	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02	1
20	18	1	no comment	\N	\N	2	2009-04-24 14:45:06.348563+02	2009-04-24 14:45:07.091+02	1
21	20	1	co comment	\N	\N	2	2015-03-06 09:10:10.1+01	2015-03-06 09:10:10.1+01	1
22	21	1	co comment	\N	\N	2	2015-03-06 09:10:10.1+01	2015-03-06 09:10:10.1+01	1
23	22	1	co comment	\N	\N	2	2015-03-06 09:10:10.1+01	2015-03-06 09:10:10.1+01	1
24	32	1	co comment	\N	\N	2	2015-03-06 09:10:10.1+01	2015-03-06 09:10:10.1+01	1
25	33	1	co comment	\N	\N	2	2015-03-06 09:10:10.1+01	2015-03-06 09:10:10.1+01	1
26	34	1	co comment	\N	\N	2	2015-03-06 09:10:10.1+01	2015-03-06 09:10:10.1+01	1
27	38	1	co comment	\N	\N	2	2015-03-06 09:10:10.1+01	2015-03-06 09:10:10.1+01	1
28	39	1	co comment	\N	\N	2	2015-03-06 09:10:10.1+01	2015-03-06 09:10:10.1+01	1
29	40	1	co comment	\N	\N	2	2015-03-06 09:10:10.1+01	2015-03-06 09:10:10.1+01	1
