1	CL1	\N	\N	5	2008-11-05 09:18:19.915+01	2	\N	\N	\N	1	\N	2009-03-18 10:50:19.475958+01	\N	200811050919915-8
2	A01	\N	\N	6	2008-11-05 09:18:19.915+01	2	\N	\N	\N	1	1	2009-03-18 10:50:19.475958+01	\N	200811050919915-9
3	A03	\N	\N	6	2008-11-05 09:18:19.915+01	2	\N	\N	\N	1	1	2009-03-18 10:50:19.475958+01	\N	200811050919915-10
5	A03	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-11
6	A04	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-12
7	A05	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-13
8	A06	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-14
9	A07	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-15
10	A08	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-16
11	A09	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-17
12	A10	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-18
13	A11	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-19
14	A12	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-20
15	A13	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-21
16	A14	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-22
17	A15	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-23
18	A16	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-24
19	A17	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-25
20	A18	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-26
21	A19	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-27
22	A20	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-28
23	A21	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-29
24	A22	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-30
25	B03	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-31
26	B04	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-32
27	B05	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-33
28	B06	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-34
29	B07	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-35
30	B08	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-36
31	B09	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-37
32	B10	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-38
33	B11	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-39
34	B12	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-40
35	B13	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-41
36	B14	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-42
37	B15	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-43
38	B16	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-44
39	B17	\N	\N	6	2008-11-05 09:19:48.718+01	2	\N	\N	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-45
