1	CL1	5	2008-11-05 09:18:19.915+01	2	\N	\N	1	\N	2009-03-18 10:50:19.475958+01	\N	200811050919915-8	\N
2	A01	6	2008-11-05 09:18:19.915+01	2	\N	\N	1	1	2009-03-18 10:50:19.475958+01	\N	200811050919915-9	\N
3	A03	6	2008-11-05 09:18:19.915+01	2	\N	\N	1	1	2009-03-18 10:50:19.475958+01	\N	200811050919915-10	\N
5	A03	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-11	\N
6	A04	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-12	\N
7	A05	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-13	\N
8	A06	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-14	\N
9	A07	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-15	\N
10	A08	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-16	\N
11	A09	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-17	\N
12	A10	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-18	\N
13	A11	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-19	\N
14	A12	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-20	\N
15	A13	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-21	\N
16	A14	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-22	\N
17	A15	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-23	\N
18	A16	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-24	\N
19	A17	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-25	\N
20	A18	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-26	\N
21	A19	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-27	\N
22	A20	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-28	\N
23	A21	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-29	\N
24	A22	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-30	\N
25	B03	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-31	\N
26	B04	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-32	\N
27	B05	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-33	\N
28	B06	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-34	\N
29	B07	6	2008-11-05 09:19:48.718+01	2	3	\N	1	4	2009-03-18 10:50:19.475958+01	\N	200811050948718-35	\N
