7	979	1	989	\N
26	1025	1	1030	\N
23	1020	1	1025	\N
5	979	1	987	\N
22	1019	1	1024	\N
18	1008	1	1019	\N
6	979	1	988	\N
3	646	1	981	\N
24	1021	1	1026	\N
2	325	1	980	\N
25	1024	1	1029	\N
21	1019	1	1023	\N
20	1013	1	1021	\N
1	325	1	979	\N
4	979	1	986	\N
19	1008	1	1020	\N
27	1026	1	1031	\N
40	994	2	1029	\N
29	974	2	987	\N
30	974	2	988	\N
28	974	2	986	\N
37	999	2	1019	\N
31	974	2	989	\N
36	997	2	1008	\N
42	997	2	1031	\N
39	994	2	1026	\N
38	1001	2	1023	\N
41	999	2	1030	\N
44	1043	1	1042	\N
45	976	1	987	\N
46	3	1	976	\N
17	4	1	978	3
14	984	1	993	2
16	4	1	977	3
12	983	1	992	1
9	982	1	990	1
10	982	1	991	1
13	979	1	984	2
15	979	1	985	2
8	977	1	982	1
11	977	1	983	1
33	974	2	983	1
34	974	2	984	2
35	974	2	985	2
32	974	2	982	1
43	977	1	984	2
