7	979	1	989	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
26	1025	1	1030	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
23	1020	1	1025	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
5	979	1	987	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
22	1019	1	1024	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
18	1008	1	1019	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
6	979	1	988	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
3	646	1	981	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
24	1021	1	1026	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
2	325	1	980	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
25	1024	1	1029	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
21	1019	1	1023	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
20	1013	1	1021	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
1	325	1	979	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
4	979	1	986	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
19	1008	1	1020	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
27	1026	1	1031	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
40	994	2	1029	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
29	974	2	987	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
30	974	2	988	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
28	974	2	986	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
37	999	2	1019	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
31	974	2	989	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
36	997	2	1008	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
42	997	2	1031	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
39	994	2	1026	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
38	1001	2	1023	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
41	999	2	1030	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
44	1043	1	1042	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
45	976	1	987	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
46	3	1	976	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
17	4	1	978	3	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
14	984	1	993	2	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
16	4	1	977	3	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
12	983	1	992	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
9	982	1	990	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
10	982	1	991	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
13	979	1	984	2	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
15	979	1	985	2	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
8	977	1	982	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
11	977	1	983	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
33	974	2	983	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
34	974	2	984	2	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
35	974	2	985	2	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
32	974	2	982	1	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
43	977	1	984	2	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
48	1058	1	1056	\N	\N	2012-05-31 15:01:16.531617+02	2012-05-31 15:01:16.531617+02
