[MASTER_SAMPLE]																						
identifier	container	parents	experiment	BIOLOGICAL_SAMPLE_ARRIVED	CONTACT_PERSON_EMAIL	PRINCIPAL_INVESTIGATOR_EMAIL	CONTACT_PERSON_NAME	PRINCIPAL_INVESTIGATOR_NAME	NOTES	NCBI_ORGANISM_TAXONOMY	SAMPLE_KIND											
/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-MASTER-4			/BSSE_FLOWCELLS/FLOWCELLS/Test-Experiment	2013-04-24 11:00:00 +0100	My name	mail22bsse	mail@bsse	PI Name		9606	CHIP											
[RAW_SAMPLE]																						
identifier	container	parents	experiment	CONCENTRATION_ORIGINAL_ILLUMINA	EXTERNAL_SAMPLE_NAME	LIBRARY_PROCESSING_POSSIBLE_YES_NO	NOTES	PREPARED_BY	KIT_PREPARED													
/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-RAW-6		/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-MASTER-4	/BSSE_FLOWCELLS/FLOWCELLS/Test-Experiment	4	Chip Seq1	YES		me	2013-04-23 11:00:00 +0100													
/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-RAW-8		/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-MASTER-4	/BSSE_FLOWCELLS/FLOWCELLS/Test-Experiment	6	CHiP2	YES		Linda	2013-04-20 11:00:00 +0100													
[LIBRARY]																						
identifier	container	parents	experiment	AGILENT_KIT	CONCENTRATION_PREPARED_ILLUMINA	DNA_CONCENTRATION_OF_LIBRARY	DATA_TRANSFERRED	EXTERNAL_SAMPLE_NAME	FRAGMENT_SIZE_PREPARED_ILLUMINA	INDEX1	INDEX2	INVOICE	LOT	KIT	LIBRARY_PROCESSING_FAILED	LIBRARY_PROCESSING_SUCCESSFUL	NANO_DROP	NOTES	PREPARED_BY	QC_AT_DBSSE	KIT_PREPARED	STARTING_AMOUNT_OF_SAMPLE_IN_NG
/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-LIBRARY-1		/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-RAW-6	/BSSE_FLOWCELLS/FLOWCELLS/Test-Experiment	AGILENT_DNA_KIT_1000	5	6		CHiP1		ATCACGA		FALSE		CHIP_SEQ_SAMPLE_PREP	FALSE	FALSE	CONCND3300				2013-04-24 11:00:00 +0100	
/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-LIBRARY-2		/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-RAW-8	/BSSE_FLOWCELLS/FLOWCELLS/Test-Experiment	AGILENT_DNA_KIT_1000	5	6		CHiP2		CGATGTA		FALSE		CHIP_SEQ_SAMPLE_PREP	FALSE	FALSE	CONCND3300				2013-04-24 11:00:00 +0100	
[LIBRARY_POOL]																						
identifier	container	parents	experiment	AGILENT_KIT	CONCENTRATION	DNA_CONCENTRATION_POOL	DNA_CONCENTRATION_QGF	EXTERNAL_SAMPLE_NAME	FRAGMENT_SIZE_BASE_PAIRS	INVOICE	NANO_DROP	NOTES	PREPARED_BY	QC_REQUIRED								
/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-POOL-10		"/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-LIBRARY-1,/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-LIBRARY-2"	/BSSE_FLOWCELLS/FLOWCELLS/Test-Experiment	AGILENT_HIGH_SENSITIVITY_DNA_KIT	4	44	2		400	FALSE	CONCND3300		Manuel	YES								
[ILLUMINA_FLOW_LANE]																						
identifier	container	parents	experiment	default_space	CONCENTRATION_FLOWLANE	NOTES																
/BSSE_FLOWCELLS/FLOWCELLS/C0P8LACXX:1	/BSSE_FLOWCELLS/FLOWCELLS/C0P8LACXX	/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-POOL-10	/BSSE_FLOWCELLS/FLOWCELLS/Test-Experiment																			
/BSSE_FLOWCELLS/FLOWCELLS/C0P8LACXX:2	/BSSE_FLOWCELLS/FLOWCELLS/C0P8LACXX	/BSSE_FLOWCELLS/FLOWCELLS/BSSE-QGF-POOL-10	/BSSE_FLOWCELLS/FLOWCELLS/Test-Experiment																			
