1	MP001-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
2	MP002-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
3	MP003-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
4	MP004-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
5	MP005-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
6	MP006-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
7	MP007-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
8	MP008-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
9	MP009-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
10	MP010-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
11	MP011-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
12	MP012-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
13	MP013-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
14	MP014-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
15	MP015-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
16	MP016-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
17	MP017-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
18	MP018-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
19	MP019-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
20	MP020-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
21	MP021-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
22	MP022-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
23	MP023-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
24	MP024-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
25	MP025-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
26	MP026-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
27	MP027-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
28	MP028-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
29	MP029-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
30	MP030-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
31	MP031-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
32	MP032-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
33	MP033-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
34	MP034-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
35	MP035-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
36	MP036-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
37	MP037-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
38	MP038-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
39	MP039-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
40	MP040-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
41	MP041-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
42	MP042-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
43	MP043-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
44	MP044-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
45	MP045-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
46	MP046-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
47	MP047-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
48	MP048-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
49	MP049-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
50	MP050-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
51	MP051-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
52	MP052-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
53	MP053-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
54	MP054-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
55	MP055-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
56	MP056-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
57	MP057-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
58	MP058-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
59	MP059-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
60	MP060-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
61	MP061-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
62	MP062-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
63	MP063-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
64	MP064-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
65	MP065-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
66	MP066-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
67	MP067-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
68	MP068-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
69	MP069-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
70	MP070-1	\N	\N	1	2007-07-25 15:11:49.001+02	1	\N	\N
