1	1	Simian Virus 40	1	2008-05-09 10:10:56.977991+02	1	\N
2	2	Vesicular Stomatitis Virus	1	2008-05-09 10:10:56.977991+02	1	\N
3	3	Semliki Forest Virus	1	2008-05-09 10:10:56.977991+02	1	\N
4	4	Rotavirus	1	2008-05-09 10:10:56.977991+02	1	\N
5	5	Rhesus Rotavirus	1	2008-05-09 10:10:56.977991+02	1	\N
6	6	Herpes Simplex Virus 1	1	2008-05-09 10:10:56.977991+02	1	\N
7	7	Echovirus 1	1	2008-05-09 10:10:56.977991+02	1	\N
8	8	Mouse Hepatitis Virus	1	2008-05-09 10:10:56.977991+02	1	\N
9	9	Influenza A virus	1	2008-05-09 10:10:56.977991+02	1	\N
10	10	Adenovirus 3	1	2008-05-09 10:10:56.977991+02	1	\N
11	11	Adenovirus 5	1	2008-05-09 10:10:56.977991+02	1	\N
12	12	Vaccinia Virus	1	2008-05-09 10:10:56.977991+02	1	\N
13	13	Yellow Fever Virus	1	2008-05-09 10:10:56.977991+02	1	\N
14	14	Dengue Virus 1	1	2008-05-09 10:10:56.977991+02	1	\N
15	15	Human respiratory virus	1	2008-05-09 10:10:56.977991+02	1	\N
16	16	Rhinovirus	1	2008-05-09 10:10:56.977991+02	1	\N
17	17	Respiratory Syncytial Virus	1	2008-05-09 10:10:56.977991+02	1	\N
18	468	CD1E	3	2008-05-09 10:10:56.977991+02	1	\N
19	694	CRAT	3	2008-05-09 10:10:56.977991+02	1	\N
20	2382	PPP3CC	3	2008-05-09 10:10:56.977991+02	1	\N
21	2602	RAP1A	3	2008-05-09 10:10:56.977991+02	1	\N
22	2715	MAPK12	3	2008-05-09 10:10:56.977991+02	1	\N
23	2826	SLC6A2	3	2008-05-09 10:10:56.977991+02	1	\N
24	2945	STYX	3	2008-05-09 10:10:56.977991+02	1	\N
25	3274	BAT3	3	2008-05-09 10:10:56.977991+02	1	\N
26	3716	TRIP3	3	2008-05-09 10:10:56.977991+02	1	\N
27	4045	PRSS16	3	2008-05-09 10:10:56.977991+02	1	\N
28	4161	PMVK	3	2008-05-09 10:10:56.977991+02	1	\N
29	4377	MRAS	3	2008-05-09 10:10:56.977991+02	1	\N
30	5581	HRH4	3	2008-05-09 10:10:56.977991+02	1	\N
31	6121	DPP9	3	2008-05-09 10:10:56.977991+02	1	\N
32	6446	ZNRF4	3	2008-05-09 10:10:56.977991+02	1	\N
33	6772	LOC339237	3	2008-05-09 10:10:56.977991+02	1	\N
34	6988	LOC440684	3	2008-05-09 10:10:56.977991+02	1	\N
35	18	A1BG	3	2008-05-09 10:10:56.977991+02	1	\N
36	19	A2M	3	2008-05-09 10:10:56.977991+02	1	\N
37	20	SERPINA3	3	2008-05-09 10:10:56.977991+02	1	\N
38	21	AADAC	3	2008-05-09 10:10:56.977991+02	1	\N
39	22	ABAT	3	2008-05-09 10:10:56.977991+02	1	\N
40	23	ABCA1	3	2008-05-09 10:10:56.977991+02	1	\N
41	24	ABCA2	3	2008-05-09 10:10:56.977991+02	1	\N
42	25	ABCA3	3	2008-05-09 10:10:56.977991+02	1	\N
43	26	ABCB7	3	2008-05-09 10:10:56.977991+02	1	\N
44	27	ABCF1	3	2008-05-09 10:10:56.977991+02	1	\N
45	28	ABCA4	3	2008-05-09 10:10:56.977991+02	1	\N
46	29	ABL1	3	2008-05-09 10:10:56.977991+02	1	\N
47	30	ABL2	3	2008-05-09 10:10:56.977991+02	1	\N
48	31	ACACA	3	2008-05-09 10:10:56.977991+02	1	\N
49	32	ACACB	3	2008-05-09 10:10:56.977991+02	1	\N
50	33	ACADL	3	2008-05-09 10:10:56.977991+02	1	\N
51	34	ACADM	3	2008-05-09 10:10:56.977991+02	1	\N
52	35	ACADS	3	2008-05-09 10:10:56.977991+02	1	\N
53	36	ACADVL	3	2008-05-09 10:10:56.977991+02	1	\N
54	37	ACAT1	3	2008-05-09 10:10:56.977991+02	1	\N
